sample_id,source,region,is_us,is_ocean,elev_before,elev_after,elev_provider,place_before,place_after,place_providers,marine_before_count,marine_after_count,marine_improvement,marine_providers,marine_quality,weather_before_count,weather_after_count,weather_improvement,weather_providers,weather_quality,soil_before_count,soil_after_count,soil_improvement,soil_providers,soil_quality
nmdc:bsm-11-e4a45a74,nmdc,CONUS,True,False,500.0,295.946746826,usgs_3dep,"USA: Michigan, Delton","USA: Michigan, Delton","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-z3wakv60,nmdc,CONUS,True,False,3213.5,3214.134277344,usgs_3dep,"USA: Colorado, Niwot Ridge","USA: Colorado, Niwot Ridge","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-9qpvvz75,nmdc,CONUS,True,False,626.5,625.810913086,usgs_3dep,"USA: Tennessee, Great Smoky Mountains National Park","USA: Tennessee, Great Smoky Mountains National Park","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,9,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-tdhtk140,nmdc,CONUS,True,False,,136.423278809,usgs_3dep,USA: Illinois,"USA: Illinois, Bridgeport",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-zgwn6537,nmdc,CONUS,True,False,500.0,295.946746826,usgs_3dep,"USA: Michigan, Delton","USA: Michigan, Delton","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-hmk0q016,nmdc,CONUS,True,False,372.0,372.634613037,usgs_3dep,"USA: Michigan, Lake City","USA: Michigan, Lake City",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-p5jee410,nmdc,CONUS,True,False,,177.17074585,usgs_3dep,"USA: Georgia, Athens","USA: Georgia, Athens","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-13-as680w10,nmdc,CONUS,True,False,,105.650001526,usgs_3dep,"USA: Washington, Columbia River","USA: Washington, Columbia River","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-t34hp206,nmdc,CONUS,True,False,596.3,597.318969727,usgs_3dep,"USA: North Dakota, Chase Lake National Wildlife Refuge","USA: North Dakota, Chase Lake National Wildlife Refuge","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-q3w9qy72,nmdc,CONUS,True,False,,16.415500641,usgs_3dep,USA: California,"USA: California, Isla Vista","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-1rn3f820,nmdc,PR,True,False,,382.251617432,usgs_3dep,Puerto Rico: Rio Grande,"Puerto Rico: Rio Grande, Bartolo",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-jwx5gc50,nmdc,AK,True,False,,829.491760254,usgs_3dep,"USA: Alaska, Toolik","USA: Alaska, Toolik","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-nhwcpx03,nmdc,CONUS,True,False,189.8,188.466278076,usgs_3dep,"USA: Massachusetts, Harvard Forest & Quabbin Watershed","USA: Massachusetts, Harvard Forest & Quabbin Watershed","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,3,9,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-s59w1h35,nmdc,CONUS,True,False,325.0,324.59274292,usgs_3dep,"USA: Iowa, Ames","USA: Iowa, Ames","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-n6e42g81,nmdc,CONUS,True,False,298.0,295.946746826,usgs_3dep,"USA: Michigan, Delton","USA: Michigan, Delton","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-swgdxr11,nmdc,CONUS,True,False,298.0,295.946746826,usgs_3dep,"USA: Michigan, Delton","USA: Michigan, Delton","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-hrep6846,nmdc,CONUS,True,False,2155.4,2156.048095703,usgs_3dep,"USA: Wyoming, Yellowstone National Park","USA: Wyoming, Yellowstone National Park","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,2,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-3nhng665,nmdc,CONUS,True,False,1.0,1.018005848,usgs_3dep,USA: Oregon,"USA: Oregon, Marshland","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-w4actr05,nmdc,CONUS,True,False,325.0,324.59274292,usgs_3dep,"USA: Iowa, Ames","USA: Iowa, Ames","osm, google",1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-xdnkf631,nmdc,AK,True,False,,666.400024414,usgs_3dep,"USA: Alaska, Healy","USA: Alaska, Healy","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-18prbv03,nmdc,CONUS,True,False,372.0,372.634613037,usgs_3dep,"USA: Michigan, Lake City","USA: Michigan, Lake City",google,1,2,True,"esa_cci, gebco",satellite_l3,0,7,True,open_meteo,,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-0cq0tt05,nmdc,CONUS,True,False,,16.415500641,usgs_3dep,USA: California,"USA: California, Isla Vista","osm, google",0,0,False,,,0,0,False,,,0,7,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-zxhgsy60,nmdc,AK,True,False,,467.951843262,usgs_3dep,"USA: Alaska, Coldfoot","USA: Alaska, Coldfoot","osm, google",0,2,True,"esa_cci, gebco",satellite_l3,0,7,True,"open_meteo, meteostat",,0,8,True,ISRIC SoilGrids,0.875
nmdc:bsm-11-j9smws47,nmdc,AK,True,False,639.4,640.209960938,usgs_3dep,"USA: Alaska, Healy","USA: Alaska, Healy","osm, google",3,4,True,"esa_cci, gebco",satellite_l3,1,7,True,"open_meteo, meteostat",,3,8,True,ISRIC SoilGrids,0.875
