field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
_id,100.0,50000,ObjectId:50000,,"""680556c2c8b344435d8fa701"" | ""68053efdc8b344435d8d30e8"" | ""6805406fc8b344435d8d47f2"""
addDate,100.0,50000,string:50000,,"""2022-04-30"" | ""2019-12-11"" | ""2020-01-27"""
altitudeInMeters,1.92,960,"null:49040, integer:958, number:2",,null | 0 | 20
altitudeInMeters2,0.164,82,"null:49918, integer:82",,null | 0
biosampleGoldId,100.0,50000,string:50000,,"""Gb0329262"" | ""Gb0246782"" | ""Gb0255907"""
biosampleName,100.0,50000,string:50000,,"""Maize rhizosphere microbial communities from Urbana, Illinois, USA - 11116.U477A63.1197639"" | ""Marine microbial communities from Douglas Channel, British Columbia, Canada - HEC1A_MICSW_Surf_BH_na_28d_Su2015_Mt_a"" | ""Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA - OSBS_022-O-20170…"
contacts,100.0,50000,array:50000,object:109773,"[] | [{""email"": ""supratimmukherjee@lbl.gov"", ""jgiSsoId"": ""5631"", ""name"": ""Supratim Mukherjee"", ""roles"": [""submitter""]}, {""… | [{""email"": ""cwp13@zips.uakron.edu"", ""jgiSsoId"": ""44036"", ""name"": ""Ceth Parker"", ""roles"": [""sample contact""]}, {""email…"
contacts[].email,31.898,15949,string:109773,,"""supratimmukherjee@lbl.gov"" | ""ryneches@lbl.gov"" | ""cwp13@zips.uakron.edu"""
contacts[].jgiSsoId,31.898,15949,string:109773,,"""5631"" | ""55080"" | ""44036"""
contacts[].name,31.898,15949,string:109773,,"""Supratim Mukherjee"" | ""Russell Neches"" | ""Ceth Parker"""
contacts[].roles,31.898,15949,array:109773,string:121266,"[""submitter""] | [""other""] | [""sample contact""]"
dateCollected,78.538,39269,"string:39269, null:10731",,"null | ""2015-08-01"" | ""2017-07-11"""
depthInMeters,27.502,13751,"null:36249, integer:10678, number:3073",,null | 150 | 0
depthInMeters2,6.564,3282,"null:46718, number:2959, integer:323",,null | 0.2 | 0.1
description,91.886,45943,"string:45943, null:4057",,"""Maize rhizosphere microbial communities from Urbana, Illinois, USA"" | ""marine microbial communities from Douglas Channel, British Columbia, Canada"" | ""Terrestrial soil microbial communities from Ordway-Swisher Biological Station, Southeast, FL, USA"""
ecosystem,100.0,50000,string:50000,,"""Host-associated"" | ""Environmental"" | ""Engineered"""
ecosystemCategory,100.0,50000,string:50000,,"""Plants"" | ""Aquatic"" | ""Terrestrial"""
ecosystemPathId,100.0,50000,integer:50000,,5301 | 4003 | 4212
ecosystemSubtype,100.0,50000,string:50000,,"""Rhizosphere"" | ""Unclassified"" | ""Oral cavity"""
ecosystemType,100.0,50000,string:50000,,"""Roots"" | ""Marine"" | ""Soil"""
elevationInMeters,26.816,13408,"null:36592, integer:11652, number:1756",,222.59 | null | 440
elevationInMeters2,0.17,85,"null:49915, integer:84, number:1",,null | 600 | 2146
envoBroadScale,24.166,12083,"null:37917, object:12083",,"null | {""id"": ""ENVO_00000447"", ""label"": ""marine biome""} | {""id"": ""ENVO_00000446"", ""label"": ""terrestrial biome""}"
envoBroadScale.id,24.166,12083,string:12083,,"""ENVO_00000447"" | ""ENVO_00000446"" | ""ENVO_00002030"""
envoBroadScale.label,24.166,12083,string:12083,,"""marine biome"" | ""terrestrial biome"" | ""aquatic biome"""
envoLocalScale,26.118,13059,"null:36941, object:13059",,"null | {""id"": ""ENVO_00001999"", ""label"": ""marine water body""} | {""id"": ""ENVO_01000894"", ""label"": ""area of emergent herbaceous wetland""}"
envoLocalScale.id,26.118,13059,string:13059,,"""ENVO_00001999"" | ""ENVO_01000894"" | ""ENVO_00000051"""
envoLocalScale.label,26.118,13059,string:13059,,"""marine water body"" | ""area of emergent herbaceous wetland"" | ""hot spring"""
envoMedium,26.244,13122,"null:36878, object:13122",,"null | {""id"": ""ENVO_00002149"", ""label"": ""sea water""} | {""id"": ""ENVO_00001998"", ""label"": ""soil""}"
envoMedium.id,26.244,13122,string:13122,,"""ENVO_00002149"" | ""ENVO_00001998"" | ""ENVO_00002007"""
envoMedium.label,26.244,13122,string:13122,,"""sea water"" | ""soil"" | ""sediment"""
geoLocation,99.446,49723,"string:49723, null:277",,"""USA: Urbana, Illinois"" | ""Canada: British Columbia"" | ""USA: Ordway-Swisher Biological Station, Southeast, FL"""
geographicLocation,99.446,49723,"string:49723, null:277",,"""USA: Urbana, Illinois"" | ""Canada: British Columbia"" | ""USA: Ordway-Swisher Biological Station, Southeast, FL"""
habitat,99.994,49997,"string:49997, null:3",,"""Maize rhizosphere"" | ""Marine"" | ""Terrestrial soil"""
hostDiseases,100.0,50000,array:50000,string:146,"[] | [""Crohn's disease""] | [""Diabetes""]"
hostGender,2.782,1391,"null:48609, string:1391",,"null | ""Male"" | ""Female"""
hostName,45.128,22564,"null:27436, string:22564",,"""Zea mays"" | null | ""Homo sapiens"""
hostNcbiTaxid,45.214,22607,"null:27393, integer:22607",,4577 | null | 9606
isoCountry,98.394,49197,"string:49197, null:803",,"""USA"" | ""Canada"" | ""Bolivia"""
latitude,98.08,49040,"number:48322, null:960, integer:718",,40.111 | 53.801963 | 29.68927
longhurst,0.456,228,"null:49772, object:228",,"null | {""code"": ""CCAL"", ""description"": ""Coastal - California Upwelling Coastal Province""} | {""code"": ""NPTG"", ""description"": ""Trades - N. Pacific Tropical Gyre Province""}"
longhurst.code,0.456,228,string:228,,"""CCAL"" | ""NPTG"" | ""SARC"""
longhurst.description,0.456,228,string:228,,"""Coastal - California Upwelling Coastal Province"" | ""Trades - N. Pacific Tropical Gyre Province"" | ""Polar - Atlantic Subarctic Province"""
longitude,98.08,49040,"number:48142, null:960, integer:898",,-88.207 | -128.832635 | -81.99343
mixsPackage,48.492,24246,"null:25754, string:24246",,"null | ""Standard"" | ""Soil Package"""
modDate,63.784,31892,"string:31892, null:18108",,"null | ""2020-01-07"" | ""2023-07-26"""
ncbiTaxId,93.338,46669,"integer:46669, null:3331",,939928 | null | 410658
ncbiTaxName,93.338,46669,"string:46669, null:3331",,"""rhizosphere metagenome"" | null | ""soil metagenome"""
nitrateConcentration,1.01,505,"null:49495, string:505",,"null | ""5.023264"" | ""19.566542"""
oxygenConcentration,0.936,468,"null:49532, string:468",,"null | ""161.3185"" | ""13.438 uM"""
ph,1.768,884,"null:49116, string:884",,"null | ""6.1"" | ""6.66-8.08"""
pressure,0.228,114,"null:49886, string:114",,"null | ""101 kPa"" | ""14532 kPa"""
salinity,0.182,91,"null:49909, string:91",,"null | ""Halotolerant"" | ""Halophile"""
salinityConcentration,0.936,468,"null:49532, string:468",,"null | ""35.88072"" | ""35.901885"""
sampleBodySite,4.61,2305,"null:47695, string:2305",,"null | ""Gastrointestinal tract"" | ""Oral"""
sampleBodySubsite,2.88,1440,"null:48560, string:1440",,"null | ""Rectal"" | ""Supragingival plaque"""
sampleCollectionSite,99.994,49997,"string:49997, null:3",,"""Maize rhizosphere"" | ""seawater"" | ""Soil"""
sampleCollectionTemperature,2.662,1331,"null:48669, string:1331",,"null | ""22.1151 C"" | ""20 C"""
specificEcosystem,99.99,49995,"string:49995, null:5",,"""Unclassified"" | ""Saliva"" | ""Sediment"""
subsurfaceDepthInMeters,0.574,287,"null:49713, number:163, integer:124",,null | 59.6 | 0.02
subsurfaceDepthInMeters2,0.242,121,"null:49879, number:116, integer:5",,null | 0.03 | 0.225
visitNum,0.358,179,"null:49821, integer:179",,null | 1 | 2
