field_path,coverage_pct,present_docs,types_seen,array_elem_types,examples
_id,100.0,13006,ObjectId:13006,,"""64b59412fe178b5f0339b70e"" | ""67d4ae30557cbfc0cf481286"" | ""64b59411fe178b5f0339a98a"""
abs_air_humidity,1.476,192,object:192,,"{""has_numeric_value"": 0.89, ""has_raw_value"": ""0.89"", ""has_unit"": ""kPa"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1.83, ""has_raw_value"": ""1.83"", ""has_unit"": ""kPa"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 1.62, ""has_raw_value"": ""1.62"", ""has_unit"": ""kPa"", ""type"": ""nmdc:QuantityValue""}"
abs_air_humidity.has_numeric_value,1.476,192,number:192,,0.89 | 1.83 | 1.62
abs_air_humidity.has_raw_value,1.476,192,string:192,,"""0.89"" | ""1.83"" | ""1.62"""
abs_air_humidity.has_unit,1.476,192,string:192,,"""kPa"""
abs_air_humidity.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
add_date,20.275,2637,string:2637,,"""2020-11-12T00:00:00"" | ""2020-08-27T00:00:00"" | ""2013-11-25"""
agrochem_addition,20.575,2676,array:2676,object:2676,"[{""has_raw_value"": ""Fertilized"", ""type"": ""nmdc:TextValue""}]"
agrochem_addition[].has_raw_value,20.575,2676,string:2676,,"""Fertilized"""
agrochem_addition[].type,20.575,2676,string:2676,,"""nmdc:TextValue"""
alternative_identifiers,2.583,336,array:336,string:429,"[""img.taxon:3300031954""] | [""img.taxon:3300042772""] | [""img.taxon:3300031880""]"
ammonium,0.346,45,object:45,,"{""has_numeric_value"": 0.125, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.0, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.227, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
ammonium.has_numeric_value,0.346,45,number:45,,0.125 | 0.0 | 0.227
ammonium.has_unit,0.346,45,string:45,,"""mg/L"""
ammonium.type,0.346,45,string:45,,"""nmdc:QuantityValue"""
ammonium_nitrogen,10.318,1342,object:1342,,"{""has_numeric_value"": 0.054, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.099, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.232, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
ammonium_nitrogen.has_numeric_value,10.318,1342,"number:1337, integer:5",,0.054 | 0.099 | 0.232
ammonium_nitrogen.has_raw_value,0.792,103,string:103,,"""3.1565 mg/kg"" | ""8.4845 mg/kg"" | ""10.7855 mg/kg"""
ammonium_nitrogen.has_unit,10.318,1342,string:1342,,"""mg/L"" | ""mg/kg"""
ammonium_nitrogen.type,10.318,1342,string:1342,,"""nmdc:QuantityValue"""
analysis_type,73.02,9497,array:9497,string:9779,"[""metagenomics""] | [""amplicon sequencing assay""] | [""metabolomics""]"
ances_data,0.807,105,object:105,,"{""has_raw_value"": ""Bd21-3"", ""type"": ""nmdc:TextValue""}"
ances_data.has_raw_value,0.807,105,string:105,,"""Bd21-3"""
ances_data.type,0.807,105,string:105,,"""nmdc:TextValue"""
associated_studies,100.0,13006,array:13006,string:13006,"[""nmdc:sty-11-34xj1150""] | [""nmdc:sty-11-wbc14h22""] | [""nmdc:sty-11-46aje659""]"
avg_temp,1.476,192,object:192,,"{""has_numeric_value"": 16.6, ""has_raw_value"": ""16.6"", ""has_unit"": ""Cel"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 22.0, ""has_raw_value"": ""22"", ""has_unit"": ""Cel"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 18.9, ""has_raw_value"": ""18.9"", ""has_unit"": ""Cel"", ""type"": ""nmdc:QuantityValue""}"
avg_temp.has_numeric_value,1.476,192,number:192,,16.6 | 22.0 | 18.9
avg_temp.has_raw_value,1.476,192,string:192,,"""16.6"" | ""22"" | ""18.9"""
avg_temp.has_unit,1.476,192,string:192,,"""Cel"""
avg_temp.type,1.476,192,string:192,,"""nmdc:QuantityValue"""
biosample_categories,70.675,9192,array:9192,string:9192,"[""NEON""] | [""BRC""]"
biotic_regm,1.076,140,object:140,,"{""has_raw_value"": ""plant inoculated with SynCom17"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""Sterile"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""plant inoculated with SynCom16"", ""type"": ""nmdc:TextValue""}"
biotic_regm.has_raw_value,1.076,140,string:140,,"""plant inoculated with SynCom17"" | ""Sterile"" | ""plant inoculated with SynCom16"""
biotic_regm.type,1.076,140,string:140,,"""nmdc:TextValue"""
calcium,0.838,109,object:109,,"{""has_numeric_value"": 2240.05, ""has_raw_value"": ""2240.05 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 2552.6, ""has_raw_value"": ""2552.6 mg/kg"", ""has_unit"": ""mg/kg"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 26.85, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
calcium.has_numeric_value,0.838,109,number:109,,2240.05 | 2552.6 | 26.85
calcium.has_raw_value,0.792,103,string:103,,"""2240.05 mg/kg"" | ""2552.6 mg/kg"" | ""2467.81 mg/kg"""
calcium.has_unit,0.838,109,string:109,,"""mg/kg"" | ""mg/L"""
calcium.type,0.838,109,string:109,,"""nmdc:QuantityValue"""
carb_nitro_ratio,9.15,1190,object:1190,,"{""has_numeric_value"": 42.5, ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 16.5733, ""has_raw_value"": ""16.5733"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 24.3, ""type"": ""nmdc:QuantityValue""}"
carb_nitro_ratio.has_numeric_value,8.542,1111,"number:1025, integer:86",,42.5 | 16.5733 | 24.3
carb_nitro_ratio.has_raw_value,2.084,271,string:271,,"""16.5733"" | ""10.826"" | ""26.26"""
carb_nitro_ratio.type,9.15,1190,string:1190,,"""nmdc:QuantityValue"""
chem_administration,0.254,33,array:33,object:90,"[{""has_raw_value"": ""prednisone [CHEBI:8382];2021-07-08"", ""term"": {""id"": ""CHEBI:8382"", ""name"": ""prednisone"", ""type"": ""… | [{""has_raw_value"": ""prednisone [CHEBI:8382];2020-08-12"", ""term"": {""id"": ""CHEBI:8382"", ""name"": ""prednisone"", ""type"": ""… | [{""has_raw_value"": ""clavamox [CHEBI:2676];2021-09-14"", ""term"": {""id"": ""CHEBI:2676"", ""name"": ""clavamox"", ""type"": ""nmdc…"
chem_administration[].has_raw_value,0.254,33,string:90,,"""prednisone [CHEBI:8382];2021-07-08"" | ""theophylline [CHEBI:28177];2021-07-08"" | ""doxycycline [CHEBI:50845];2021-07-08"""
chem_administration[].term,0.254,33,object:90,,"{""id"": ""CHEBI:8382"", ""name"": ""prednisone"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""CHEBI:28177"", ""name"": ""theophylline"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""CHEBI:50845"", ""name"": ""doxycycline"", ""type"": ""nmdc:OntologyClass""}"
chem_administration[].term.id,0.254,33,string:90,,"""CHEBI:8382"" | ""CHEBI:28177"" | ""CHEBI:50845"""
chem_administration[].term.name,0.254,33,string:90,,"""prednisone"" | ""theophylline"" | ""doxycycline"""
chem_administration[].term.type,0.254,33,string:90,,"""nmdc:OntologyClass"""
chem_administration[].type,0.254,33,string:90,,"""nmdc:ControlledTermValue"""
chloride,0.046,6,object:6,,"{""has_numeric_value"": 54.26, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 38.11, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 53.46, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
chloride.has_numeric_value,0.046,6,number:6,,54.26 | 38.11 | 53.46
chloride.has_unit,0.046,6,string:6,,"""mg/L"""
chloride.type,0.046,6,string:6,,"""nmdc:QuantityValue"""
chlorophyll,0.361,47,object:47,,"{""has_numeric_value"": 5.4, ""has_unit"": ""\u03bcg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 9.0, ""has_unit"": ""\u03bcg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 8.3, ""has_unit"": ""\u03bcg/L"", ""type"": ""nmdc:QuantityValue""}"
chlorophyll.has_numeric_value,0.361,47,number:47,,5.4 | 9.0 | 8.3
chlorophyll.has_unit,0.361,47,string:47,,"""\u03bcg/L"""
chlorophyll.type,0.361,47,string:47,,"""nmdc:QuantityValue"""
collected_from,3.199,416,string:416,,"""nmdc:frsite-11-hw8dvc50"" | ""nmdc:frsite-11-kj203678"" | ""nmdc:frsite-11-s8vfqq56"""
collection_date,96.071,12495,object:12495,,"{""has_raw_value"": ""2018-07-12T07:10Z"", ""type"": ""nmdc:TimestampValue""} | {""has_raw_value"": ""2016-07-11"", ""type"": ""nmdc:TimestampValue""} | {""has_raw_value"": ""2018-06-21T20:49Z"", ""type"": ""nmdc:TimestampValue""}"
collection_date.has_raw_value,96.071,12495,string:12495,,"""2018-07-12T07:10Z"" | ""2016-07-11"" | ""2018-06-21T20:49Z"""
collection_date.type,96.071,12495,string:12495,,"""nmdc:TimestampValue"""
collection_time,0.984,128,string:128,,"""13:55"" | ""13:30"" | ""8:36"""
community,2.914,379,string:379,,"""microbial communities"" | ""microbial community"""
conduc,1.384,180,object:180,,"{""has_numeric_value"": 90.4, ""has_unit"": ""uS/cm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 89.1, ""has_unit"": ""uS/cm"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 14.2, ""has_unit"": ""uS/cm"", ""type"": ""nmdc:QuantityValue""}"
conduc.has_numeric_value,1.384,180,"number:115, integer:65",,90.4 | 89.1 | 14.2
conduc.has_unit,1.384,180,string:180,,"""uS/cm"""
conduc.type,1.384,180,string:180,,"""nmdc:QuantityValue"""
cult_root_med,1.076,140,object:140,,"{""has_raw_value"": ""0.5x Murashige and Skoog basal salts medium"", ""type"": ""nmdc:TextValue""}"
cult_root_med.has_raw_value,1.076,140,string:140,,"""0.5x Murashige and Skoog basal salts medium"""
cult_root_med.type,1.076,140,string:140,,"""nmdc:TextValue"""
cur_vegetation,21.529,2800,object:2800,,"{""has_raw_value"": ""Restored Prairie"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""Switchgrass"", ""type"": ""nmdc:TextValue""} | {""has_raw_value"": ""Undisturbed Control"", ""type"": ""nmdc:TextValue""}"
cur_vegetation.has_raw_value,21.529,2800,string:2800,,"""Restored Prairie"" | ""Switchgrass"" | ""Undisturbed Control"""
cur_vegetation.type,21.529,2800,string:2800,,"""nmdc:TextValue"""
depth,77.772,10115,object:10115,,"{""has_maximum_numeric_value"": 0.3, ""has_minimum_numeric_value"": 0, ""has_unit"": ""m"", ""type"": ""nmdc:QuantityValue""} | {""has_maximum_numeric_value"": 0.1, ""has_minimum_numeric_value"": 0.0, ""has_raw_value"": ""0 - 0.1"", ""type"": ""nmdc:Quanti… | {""has_maximum_numeric_value"": 0.05, ""has_minimum_numeric_value"": 0, ""has_unit"": ""m"", ""type"": ""nmdc:QuantityValue""}"
depth.has_maximum_numeric_value,68.822,8951,"number:8386, integer:565",,0.3 | 0.1 | 0.05
depth.has_minimum_numeric_value,68.614,8924,"integer:4478, number:4446",,0 | 0.0 | 0.086
depth.has_numeric_value,8.927,1161,"number:856, integer:305",,0.5 | 0.31 | 0.1
depth.has_raw_value,35.976,4679,string:4679,,"""0 - 0.1"" | ""0 - 0.05"" | ""0-0.1"""
depth.has_unit,48.939,6365,string:6365,,"""m"" | ""meters"""
depth.type,77.772,10115,string:10115,,"""nmdc:QuantityValue"""
description,25.996,3381,string:3381,,"""Freshwater microbial communities from Atchafalaya River, Louisiana, USA"" | ""River sediment microbial communities from Puerto Rico, United States"" | ""Freshwater microbial communities from Lake Mendota, Madison, Wisconsin, United States"""
diss_inorg_carb,0.192,25,object:25,,"{""has_numeric_value"": 34.18, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 47.15, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 46.61, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
diss_inorg_carb.has_numeric_value,0.192,25,number:25,,34.18 | 47.15 | 46.61
diss_inorg_carb.has_unit,0.192,25,string:25,,"""mg/L"""
diss_inorg_carb.type,0.192,25,string:25,,"""nmdc:QuantityValue"""
diss_inorg_nitro,0.346,45,object:45,,"{""has_numeric_value"": 0.646, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.0, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.836, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
diss_inorg_nitro.has_numeric_value,0.346,45,number:45,,0.646 | 0.0 | 0.836
diss_inorg_nitro.has_unit,0.346,45,string:45,,"""mg/L"""
diss_inorg_nitro.type,0.346,45,string:45,,"""nmdc:QuantityValue"""
diss_iron,0.046,6,object:6,,"{""has_numeric_value"": 0.0, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 0.01, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
diss_iron.has_numeric_value,0.046,6,number:6,,0.0 | 0.01
diss_iron.has_unit,0.046,6,string:6,,"""mg/L"""
diss_iron.type,0.046,6,string:6,,"""nmdc:QuantityValue"""
diss_org_carb,0.192,25,object:25,,"{""has_numeric_value"": 5.19, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 4.78, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 6.24, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
diss_org_carb.has_numeric_value,0.192,25,number:25,,5.19 | 4.78 | 6.24
diss_org_carb.has_unit,0.192,25,string:25,,"""mg/L"""
diss_org_carb.type,0.192,25,string:25,,"""nmdc:QuantityValue"""
diss_oxygen,3.345,435,object:435,,"{""has_numeric_value"": 9.85, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 3.95, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""} | {""has_numeric_value"": 8.9, ""has_unit"": ""mg/L"", ""type"": ""nmdc:QuantityValue""}"
diss_oxygen.has_numeric_value,3.345,435,number:435,,9.85 | 3.95 | 8.9
diss_oxygen.has_unit,3.345,435,string:435,,"""mg/L"""
diss_oxygen.type,3.345,435,string:435,,"""nmdc:QuantityValue"""
ecosystem,65.954,8578,string:8578,,"""Environmental"" | ""Host-associated"" | ""Engineered"""
ecosystem_category,65.954,8578,string:8578,,"""Terrestrial"" | ""Aquatic"" | ""Plants"""
ecosystem_subtype,65.631,8536,string:8536,,"""Unclassified"" | ""Agricultural land"" | ""Grasslands"""
ecosystem_type,65.954,8578,string:8578,,"""Soil"" | ""Freshwater"" | ""Roots"""
elev,84.653,11010,"number:9998, integer:1012",,2155.4 | 298.0 | 506.8
emsl_biosample_identifiers,1.445,188,array:188,string:188,"[""UUID:NWBC-CB-B-06fd881f-fe3c-43f0-8f75-1fda0772ed35""] | [""UUID:RMNP-CB-B-f0507935-ba93-42db-9f27-9383e7932ac3""] | [""emsl:63ca3fd4-6647-11eb-ae93-0242ac130002""]"
env_broad_scale,100.0,13006,object:13006,,"{""term"": {""id"": ""ENVO:00000446"", ""name"": ""terrestrial biome"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""nmdc:Controlled… | {""has_raw_value"": ""__temperate woodland biome [ENVO:01000221]"", ""term"": {""id"": ""ENVO:01000221"", ""name"": ""temperate wo… | {""has_raw_value"": ""terrestrial biome [ENVO:00000446]"", ""term"": {""id"": ""ENVO:00000446"", ""name"": ""terrestrial biome"", ""…"
env_broad_scale.has_raw_value,59.811,7779,string:7779,,"""__temperate woodland biome [ENVO:01000221]"" | ""terrestrial biome [ENVO:00000446]"" | ""ENVO_01000253"""
env_broad_scale.term,100.0,13006,object:13006,,"{""id"": ""ENVO:00000446"", ""name"": ""terrestrial biome"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:01000221"", ""name"": ""temperate woodland biome"", ""type"": ""nmdc:OntologyClass""} | {""id"": ""ENVO:01000253"", ""name"": ""freshwater river biome"", ""type"": ""nmdc:OntologyClass""}"
env_broad_scale.term.id,100.0,13006,string:13006,,"""ENVO:00000446"" | ""ENVO:01000221"" | ""ENVO:01000253"""
env_broad_scale.term.name,90.366,11753,string:11753,,"""terrestrial biome"" | ""temperate woodland biome"" | ""freshwater river biome"""
env_broad_scale.term.type,100.0,13006,string:13006,,"""nmdc:OntologyClass"""
env_broad_scale.type,100.0,13006,string:13006,,"""nmdc:ControlledIdentifiedTermValue"""
env_local_scale,100.0,13006,object:13006,,"{""term"": {""id"": ""ENVO:01000843"", ""name"": ""area of evergreen forest"", ""type"": ""nmdc:OntologyClass""}, ""type"": ""nmdc:Con… | {""has_raw_value"": ""____agricultural field [ENVO:00000114]"", ""term"": {""id"": ""ENVO:00000114"", ""name"": ""agricultural fie… | {""term"": {""id"": ""ENVO:01000888"", ""name"": ""area of gramanoid or herbaceous vegetation"", ""type"": ""nmdc:OntologyClass""},…"
env_local_scale.has_raw_value,59.811,7779,string:7779,,"""____agricultural field [ENVO:00000114]"" | ""grassland ecosystem [ENVO:01001206]"" | ""ENVO_00000022"""
